Sunnyside - New Kensington,18833,Citrus Daydream ,Sativa,CRESCO,Flower,$30.00,3.5g,24.79%,867.65mg,0.035/mg
Sunnyside - New Kensington,18833,Cold as Ice ,Sativa,CRESCO,Flower,$45.01,3.5g,27.46%,961.10mg,0.047/mg
Sunnyside - New Kensington,18833,Funky Pine ,Sativa,CRESCO,Flower,$45.01,3.5g,26.58%,930.30mg,0.048/mg
Sunnyside - New Kensington,18833,Glazed Enigma ,Sativa,CRESCO,Flower,$30.00,3.5g,20.50%,717.50mg,0.042/mg
Sunnyside - New Kensington,18833,Jimi's Punch ,Sativa,CRESCO,Flower,$45.01,3.5g,24.99%,874.65mg,0.051/mg
Sunnyside - New Kensington,18833,MacDaddy ,Sativa,CRESCO,Flower,$45.01,3.5g,27.90%,976.50mg,0.046/mg
Sunnyside - New Kensington,18833,Oregon Silver Haze ,Sativa,CRESCO,Flower,$45.01,3.5g,21.67%,758.45mg,0.059/mg
Sunnyside - New Kensington,18833,Outer Space ,Sativa,CRESCO,Flower,$45.01,3.5g,22.12%,774.20mg,0.058/mg
Sunnyside - New Kensington,18833,Spiked Mai Tai ,Sativa,CRESCO,Flower,$45.01,3.5g,26.51%,927.85mg,0.049/mg
Sunnyside - New Kensington,18833,Chemex  ,Sativa,SUPPLY,Small,$64.01,7.0g,27.28%,1909.60mg,0.034/mg
Sunnyside - New Kensington,18833,Citrus Daydream  ,Sativa,SUPPLY,Ground Flower,$31.98,7.0g,14.55%,1018.50mg,0.031/mg
Sunnyside - New Kensington,18833,Citrus Daydream  ,Sativa,SUPPLY,Small,$64.01,7.0g,25.49%,1784.30mg,0.036/mg
Sunnyside - New Kensington,18833,Cold as Ice  ,Sativa,SUPPLY,Ground Flower,$31.98,7.0g,14.70%,1029.00mg,0.031/mg
Sunnyside - New Kensington,18833,Cold as Ice  ,Sativa,SUPPLY,Small,$64.01,7.0g,24.78%,1734.60mg,0.037/mg
Sunnyside - New Kensington,18833,Durban  ,Sativa,SUPPLY,Small,$64.01,7.0g,19.37%,1355.90mg,0.047/mg
Sunnyside - New Kensington,18833,Funky Pine  ,Sativa,SUPPLY,Small,$64.01,7.0g,31.02%,2171.40mg,0.029/mg
Sunnyside - New Kensington,18833,Glazed Enigma  ,Sativa,SUPPLY,Ground Flower,$31.98,7.0g,13.07%,914.90mg,0.035/mg
Sunnyside - New Kensington,18833,Oregon Silver Haze  ,Sativa,SUPPLY,Small,$64.01,7.0g,23.91%,1673.70mg,0.038/mg
Sunnyside - New Kensington,18833,Spiked Mai Tai  ,Sativa,SUPPLY,Small,$64.01,7.0g,23.13%,1619.10mg,0.040/mg
Sunnyside - New Kensington,18833,Sweet Cheese ,Sativa,AGRI-KIND,Flower,$45.01,3.5g,22.94%,802.90mg,0.056/mg
Sunnyside - New Kensington,18833,Peach Hashplant ,Sativa,FRX,Flower,$54.98,3.5g,21.56%,754.60mg,0.073/mg
Sunnyside - New Kensington,18833,Sage ,Sativa,FRX,Flower,$30.00,3.5g,17.61%,616.35mg,0.049/mg
Sunnyside - New Kensington,18833,Sour Joker ,Sativa,FRX,Flower,$30.00,3.5g,19.76%,691.60mg,0.043/mg
Sunnyside - New Kensington,18833,Durban #5  ,Sativa,GOOD GREEN,Small,$67.98,7.0g,21.25%,1487.50mg,0.046/mg
Sunnyside - New Kensington,18833,Golden Goat  ,Sativa,GOOD GREEN,Small,$67.98,7.0g,24.19%,1693.30mg,0.040/mg
Sunnyside - New Kensington,18833,Lemon Meringue  ,Sativa,GOOD GREEN,Small,$67.98,7.0g,16.93%,1185.10mg,0.057/mg
Sunnyside - New Kensington,18833,MTF #2 ,Sativa,KYND,Flower,$50.02,3.5g,24.40%,854.00mg,0.059/mg
Sunnyside - New Kensington,18833,Classic Red Sangria ,Sativa,LOST IN TRANSLATION,Flower,$50.02,3.5g,18.07%,632.45mg,0.079/mg
Sunnyside - New Kensington,18833,Classic Red Sangria  ,Sativa,LOST IN TRANSLATION,Small,$64.01,7.0g,21.54%,1507.80mg,0.042/mg
Sunnyside - New Kensington,18833,Casey Jones ,Sativa,MOXIE,Flower,$54.98,3.5g,20.16%,705.60mg,0.078/mg
Sunnyside - New Kensington,18833,Alaskan Thunder ,Sativa,ORGANIC REMEDIES,Flower,$30.00,3.5g,26.50%,927.50mg,0.032/mg
Sunnyside - New Kensington,18833,Cherry AK  7g,Sativa,ORGANIC REMEDIES,Flower,$60.00,7.0g,24.86%,1740.20mg,0.034/mg
Sunnyside - New Kensington,18833,Sour Tangie Pre -  ,Sativa,ORGANIC REMEDIES,Ground Flower,$31.98,7.0g,17.55%,1228.50mg,0.026/mg
Sunnyside - New Kensington,18833,Stardawg ,Sativa,ORGANIC REMEDIES,Flower,$30.00,3.5g,23.98%,839.30mg,0.036/mg
Sunnyside - New Kensington,18833,Jack Herer ,Sativa,RYTHM,Flower,$54.98,3.5g,19.64%,687.40mg,0.080/mg
Sunnyside - New Kensington,18833,Sour Diesel ,Sativa,RYTHM,Flower,$59.99,3.5g,21.35%,747.25mg,0.080/mg
Sunnyside - New Kensington,18833,Mother's st  ,Sativa,SECHE,Flower,$43.96,7.0g,18.75%,1312.50mg,0.033/mg
Sunnyside - New Kensington,18833,Strawberry Amnesia  Grind ,Sativa,SECHE,Fine Grind Flower,$31.98,7.0g,16.69%,1168.30mg,0.027/mg
Sunnyside - New Kensington,18833,Sour Tangie ,Sativa,TERRAPIN,Flower,$31.99,3.5g,20.64%,722.40mg,0.044/mg
