store name, name, strain, grower, type, price, weight, thc%, total mg, cost/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3850/products/851629/rythm-animal-mints-10?recommended=false&fromMenu=true"">Animal Mints #10</a><br><a href=""https://www.leafly.com/search?q=Animal Mints #10"">Leafly</a>",<class 'filter'>,Rythm,Premium Flower,$41.25,3.5g,24.51%,857.85mg,0.048/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/1042730/shine-l-orange?recommended=false&fromMenu=true"">L'Orange</a><br><a href=""https://www.leafly.com/search?q=L'Orange"">Leafly</a>",<class 'filter'>,&Shine,Select Grind,$50.00,7.0g,30.69%,2148.30mg,0.023/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3965/products/1007533/g-leaf-bazooka-joe?recommended=false&fromMenu=true"">Bazooka Joe</a><br><a href=""https://www.leafly.com/search?q=Bazooka Joe"">Leafly</a>",<class 'filter'>,gLeaf,Flower,$50.00,3.5g,26.81%,938.35mg,0.053/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4415/products/1034665/supply-blueberry-space-cake?recommended=false&fromMenu=true"">Blueberry Space Cake</a><br><a href=""https://www.leafly.com/search?q=Blueberry Space Cake"">Leafly</a>",<class 'filter'>,Supply,Small Flower,$90.00,7.0g,19.26%,1348.20mg,0.067/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3850/products/1194017/supply-hot-stuff?recommended=false&fromMenu=true"">Hot Stuff</a><br><a href=""https://www.leafly.com/search?q=Hot Stuff"">Leafly</a>",<class 'filter'>,Supply,Smalls,$90.00,7.0g,25.70%,1799.00mg,0.050/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3965/products/598125/insa-apple-fritter?recommended=false&fromMenu=true"">Apple Fritter</a><br><a href=""https://www.leafly.com/search?q=Apple Fritter"">Leafly</a>",<class 'filter'>,INSA,Flower,$44.00,3.5g,21.18%,741.30mg,0.059/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3839/products/1181766/cresco-gelato-33-x-i-95?recommended=false&fromMenu=true"">Gelato 33 x I 95</a><br><a href=""https://www.leafly.com/search?q=Gelato 33 x I 95"">Leafly</a>",<class 'filter'>,Cresco,Premium Flower,$55.00,3.5g,23.03%,806.05mg,0.068/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/4415/products/851629/rythm-animal-mints-10?recommended=false&fromMenu=true"">Animal Mints #10</a><br><a href=""https://www.leafly.com/search?q=Animal Mints #10"">Leafly</a>",<class 'filter'>,Rythm,Premium Flower,$41.25,3.5g,22.06%,772.10mg,0.053/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3851/products/1034665/supply-blueberry-space-cake?recommended=false&fromMenu=true"">Blueberry Space Cake</a><br><a href=""https://www.leafly.com/search?q=Blueberry Space Cake"">Leafly</a>",<class 'filter'>,Supply,Small Flower,$90.00,7.0g,17.81%,1246.70mg,0.072/mg
IHJ,"<a href=""http://www.iheartjane.com/embed/stores/3965/products/1008880/maitri-genetics-ice-cc-ice-cream-cake?recommended=false&fromMenu=true"">Ice CC - Ice Cream Cake</a><br><a href=""https://www.leafly.com/search?q=Ice CC - Ice Cream Cake"">Leafly</a>",<class 'filter'>,Maitri Genetics,Flower,$55.00,3.5g,26.30%,920.50mg,0.060/mg
