Goodblend Erie,16501,<a href="http://www.dutchie.com/dispensary/goodblend-erie/product/pipe-dream">Pipe Dream</a><br><a href="https://www.leafly.com/search?q=Pipe Dream">Leafly</a>,Sativa,Kind Tree,Flower,$45.00,3.5g,19.60%,686.00mg,0.066/mg
Goodblend Erie,16501,<a href="http://www.dutchie.com/dispensary/goodblend-erie/product/purple-thai-22-flower">Purple Thai #22 </a><br><a href="https://www.leafly.com/search?q=Purple Thai #22 ">Leafly</a>,Sativa,Prime Wellness,Flower,$50.00,3.5g,22.40%,784.00mg,0.064/mg
Goodblend Erie,16501,<a href="http://www.dutchie.com/dispensary/goodblend-erie/product/scarlet-fire-7">Scarlet Fire #7</a><br><a href="https://www.leafly.com/search?q=Scarlet Fire #7">Leafly</a>,Sativa,Prime Wellness,Flower,$50.00,3.5g,21.60%,756.00mg,0.066/mg
Goodblend Erie,16501,<a href="http://www.dutchie.com/dispensary/goodblend-erie/product/sour-diesel-energize-premium-flower-3-5g">Sour Diesel Energize Premium  | 3.5g</a><br><a href="https://www.leafly.com/search?q=Sour Diesel Energize Premium  | 3.5g">Leafly</a>,Sativa,Rythm,Flower,$55.00,3.5g,18.90%,661.50mg,0.083/mg
Goodblend Erie,16501,<a href="http://www.dutchie.com/dispensary/goodblend-erie/product/sour-tangie">Sour Tangie</a><br><a href="https://www.leafly.com/search?q=Sour Tangie">Leafly</a>,Sativa,Terrapin,Flower,$32.00,3.5g,15.00%,525.00mg,0.061/mg
Goodblend Erie,16501,<a href="http://www.dutchie.com/dispensary/goodblend-erie/product/sr-clean">Sr. Clean</a><br><a href="https://www.leafly.com/search?q=Sr. Clean">Leafly</a>,Sativa,Kind Tree,Flower,$45.00,3.5g,18.80%,658.00mg,0.068/mg
Goodblend Erie,16501,<a href="http://www.dutchie.com/dispensary/goodblend-erie/product/stardawg-small-flower">Stardawg Small </a><br><a href="https://www.leafly.com/search?q=Stardawg Small ">Leafly</a>,Sativa,Organic Remedies,Small Flower,$60.00,3.5g,25.80%,903.00mg,0.066/mg
Goodblend Erie,16501,<a href="http://www.dutchie.com/dispensary/goodblend-erie/product/tangie">Tangie</a><br><a href="https://www.leafly.com/search?q=Tangie">Leafly</a>,Sativa,Terrapin,Flower,$32.00,3.5g,13.40%,469.00mg,0.068/mg
Goodblend Erie,16501,<a href="http://www.dutchie.com/dispensary/goodblend-erie/product/thai-99">Thai 99</a><br><a href="https://www.leafly.com/search?q=Thai 99">Leafly</a>,Sativa,The Woods Reserve,Flower,$50.00,3.5g,17.20%,602.00mg,0.083/mg
Goodblend Erie,16501,<a href="http://www.dutchie.com/dispensary/goodblend-erie/product/thundercat-small-flower">Thundercat Small </a><br><a href="https://www.leafly.com/search?q=Thundercat Small ">Leafly</a>,Sativa,Parea,Small Flower,$35.00,3.5g,14.00%,490.00mg,0.071/mg
Goodblend Erie,16501,<a href="http://www.dutchie.com/dispensary/goodblend-erie/product/white-durban-small-buds-7g">White Durban Small Buds | 7g</a><br><a href="https://www.leafly.com/search?q=White Durban Small Buds | 7g">Leafly</a>,Sativa,Good Green,Flower,$85.00,3.5g,23.70%,829.50mg,0.102/mg
