store location, store zip, name, strain, grower, type, price, weight, thc%, total mg, cost/mg
Pittsburgh,15112,Midnight Fantasy ,Indica,R.O.,Flower,$35.00,3.5g,13.72%,480.20mg,0.073/mg
Lancaster,17601,Point Break ,Indica,GLEAF,Flower,$39.97,3.5g,21.90%,766.50mg,0.052/mg
Philadelphia - Chestnut St,17301,Lemon Sweet Skunk ,Sativa,TERRAPIN,Flower,$31.99,3.5g,17.92%,627.20mg,0.051/mg
Lancaster,17601,Grease Bucket  7g,Hybrid,ORGANIC REMEDIES,Flower,$60.00,7.0g,18.30%,1281.00mg,0.047/mg
Ambler,19002,Ghost Rider ,Hybrid,GRASSROOTS,Flower,$15.00,1.0g,20.63%,206.30mg,0.073/mg
Pittsburgh,15112,Kosher Tangie ,Hybrid,CRESCO,Flower,$30.00,3.5g,23.27%,814.45mg,0.037/mg
Montgomeryville,18936,Gelato #33 I95  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,15.77%,1103.90mg,0.036/mg
Pittsburgh,15112,MemberBerry  ,Hybrid,GRASSROOTS,Small,$74.97,7.0g,19.38%,1356.60mg,0.055/mg
Ambler,19002,Gelato #33 I95 ,Hybrid,CRESCO,Flower,$30.00,3.5g,23.33%,816.55mg,0.037/mg
Lancaster,17601,Lemon Grenades ,Hybrid,GRASSROOTS,Flower,$47.98,3.5g,21.85%,764.75mg,0.063/mg
Pittsburgh,15112,Remo Chemo  Grind ,Indica,SECHE,Fine Grind Flower,$39.97,7.0g,12.88%,901.60mg,0.044/mg
Pittsburgh,15112,Tahoe OG ,Hybrid,CALYPSO,Flower,$44.98,3.5g,20.03%,701.05mg,0.064/mg
Montgomeryville,18936,Outer Space ,Sativa,CRESCO,Flower,$45.01,3.5g,22.12%,774.20mg,0.058/mg
Butler,16001,Novarine ,Hybrid,GRASSROOTS,Flower,$47.98,3.5g,27.30%,955.50mg,0.050/mg
Butler,16001,Cool Grapes #66 ,Hybrid,GRASSROOTS,Flower,$74.97,7.0g,20.07%,1404.90mg,0.053/mg
Butler,16001,Banana Punch ,Indica,AVENUE,Flower,$44.98,3.5g,22.64%,792.40mg,0.057/mg
Montgomeryville,18936,Outer Space  ,Sativa,SUPPLY,Small,$79.94,7.0g,21.21%,1484.70mg,0.054/mg
Philadelphia - Chestnut St,17301,Kosher Tangie ,Hybrid,CRESCO,Flower,$30.00,3.5g,23.27%,814.45mg,0.037/mg
Butler,16001,Tangie #1 ,Sativa,ORGANIC REMEDIES,Flower,$30.00,3.5g,21.83%,764.05mg,0.039/mg
Pittsburgh,15112,Peach Hashplant ,Sativa,FRX,Flower,$54.98,3.5g,21.56%,754.60mg,0.073/mg
Pittsburgh,15112,Cold as Ice ,Sativa,CRESCO,Flower,$45.01,3.5g,27.46%,961.10mg,0.047/mg
Philadelphia - Chestnut St,17301,Outer Space  ,Sativa,SUPPLY,Small,$60.00,7.0g,21.14%,1479.80mg,0.041/mg
Ambler,19002,Garlic Storm  Bud,Hybrid,GLEAF,Small,$15.00,1.0g,23.72%,237.20mg,0.063/mg
Pittsburgh,15112,Choco Loco ,Sativa,PHG,Flower,$25.00,3.5g,18.98%,664.30mg,0.038/mg
Ambler,19002,Chem Brulee ,Indica,FRX,Flower,$54.98,3.5g,28.07%,982.45mg,0.056/mg
Butler,16001,Tangilope ,Sativa,THE BANK,Flower,$35.00,3.5g,19.56%,684.60mg,0.051/mg
Ambler,19002,MacDaddy  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,22.72%,1590.40mg,0.025/mg
Ambler,19002,Lime Bars ,Indica,CRESCO,Flower,$45.01,3.5g,23.52%,823.20mg,0.055/mg
Phoenixville,19460,Grape Gasoline ,Indica,INSA,Flower,$79.94,7.0g,21.17%,1481.90mg,0.054/mg
Philadelphia - Chestnut St,17301,Citrus Kiss ,Sativa,TERRAPIN,Flower,$37.00,3.5g,17.91%,626.85mg,0.059/mg
Butler,16001,Yellow Brick Road ,Hybrid,AVENUE,Flower,$44.98,3.5g,23.54%,823.90mg,0.055/mg
Ambler,19002,Chem De La Chem ,Hybrid,GRASSROOTS,Flower,$47.98,3.5g,20.98%,734.30mg,0.065/mg
Philadelphia - Chestnut St,17301,Banana Punch ,Indica,AVENUE,Flower,$44.98,3.5g,22.64%,792.40mg,0.057/mg
Phoenixville,19460,OG 18 ,Indica,CRESCO,Flower,$45.01,3.5g,19.66%,688.10mg,0.065/mg
Phoenixville,19460,Moonshine Haze ,Sativa,TERRAPIN,Flower,$37.00,3.5g,14.45%,505.75mg,0.073/mg
Pittsburgh,15112,Hazen Haze  ,Hybrid,SUPPLY,Small,$80.01,7.0g,21.39%,1497.30mg,0.053/mg
Montgomeryville,18936,Rocket Fuel  ,Hybrid,SUPPLY,Small,$80.01,7.0g,23.66%,1656.20mg,0.048/mg
Ambler,19002,Strawberry Cherry Gelato  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,12.17%,851.90mg,0.047/mg
Montgomeryville,18936,Tangilope ,Sativa,THE BANK,Flower,$35.00,3.5g,18.55%,649.25mg,0.054/mg
Montgomeryville,18936,White Durban  ,Sativa,GOOD GREEN,Small,$84.98,7.0g,22.34%,1563.80mg,0.054/mg
Lancaster,17601,Dough Lato ,Hybrid,INSA,Flower,$39.97,3.5g,20.83%,729.05mg,0.055/mg
Phoenixville,19460,Classic Red Sangria ,Sativa,LOST IN TRANSLATION,Flower,$49.98,3.5g,18.07%,632.45mg,0.079/mg
Pittsburgh,15112,Bubba Diagonal  ,Indica,GRASSROOTS,Small,$74.97,7.0g,16.98%,1188.60mg,0.063/mg
Philadelphia - Chestnut St,17301,Oregon Silver Haze  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,20.56%,1439.20mg,0.028/mg
Philadelphia - Chestnut St,17301,Fruit Pie ,Indica,CALYPSO,Flower,$44.98,3.5g,23.35%,817.25mg,0.055/mg
Butler,16001,Sugar Plum Sunset  ,Indica,SUPPLY,Small,$80.01,7.0g,22.91%,1603.70mg,0.050/mg
Butler,16001,Mother's st  ,Sativa,SECHE,Flower,$54.95,7.0g,18.75%,1312.50mg,0.042/mg
Philadelphia - Chestnut St,17301,Banana OG  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,16.89%,1182.30mg,0.034/mg
Lancaster,17601,Hazen Haze  ,Hybrid,SUPPLY,Small,$79.94,7.0g,21.39%,1497.30mg,0.053/mg
Ambler,19002,Sugar Plum Sunset  ,Indica,SUPPLY,Small,$80.01,7.0g,20.28%,1419.60mg,0.056/mg
Ambler,19002,WC Watermelon Z  ,Indica,SUPPLY,Small,$80.01,7.0g,27.74%,1941.80mg,0.041/mg
Lancaster,17601,Boocoo ,Indica,CALYPSO,Flower,$44.98,3.5g,22.17%,775.95mg,0.058/mg
Butler,16001,Mr. Nasty ,Hybrid,KYND,Flower,$50.02,3.5g,24.74%,865.90mg,0.058/mg
Phoenixville,19460,Spiked Mai Tai  ,Sativa,SUPPLY,Small,$79.94,7.0g,23.13%,1619.10mg,0.049/mg
Montgomeryville,18936,Yellow Brick Road  ,Hybrid,AVENUE,Smalls,$79.94,7.0g,17.63%,1234.10mg,0.065/mg
Pittsburgh,15112,Peanut Butter Breath ,Indica,FRX,Flower,$54.98,3.5g,14.47%,506.45mg,0.109/mg
Montgomeryville,18936,Spiked Mai Tai ,Sativa,CRESCO,Flower,$45.01,3.5g,26.75%,936.25mg,0.048/mg
Ambler,19002,Chem 91 ,Indica,FRX,Flower,$54.98,3.5g,22.00%,770.00mg,0.071/mg
Montgomeryville,18936,Cluster Funk Mini ,Hybrid,FRX,Flower,$50.02,3.5g,22.78%,797.30mg,0.063/mg
Ambler,19002,Cold as Ice  ,Sativa,SUPPLY,Small,$80.01,7.0g,24.42%,1709.40mg,0.047/mg
Montgomeryville,18936,Amnesia  ,Hybrid,AGRI-KIND,Smalls,$59.99,7.0g,16.65%,1165.50mg,0.051/mg
Pittsburgh,15112,Thai 99 ,Sativa,WOODS RESERVE,Flower,$45.01,3.5g,20.76%,726.60mg,0.062/mg
Pittsburgh,15112,War Pig  ,Hybrid,CLASSIX,Small,$70.00,7.0g,24.38%,1706.60mg,0.041/mg
Pittsburgh,15112,Lemon OG ,Hybrid,CULTIVAR COLLECTION,Flower,$59.99,3.5g,24.95%,873.25mg,0.069/mg
Montgomeryville,18936,Jimi's Punch ,Sativa,CRESCO,Flower,$45.01,3.5g,25.10%,878.50mg,0.051/mg
Montgomeryville,18936,Stracciatella ,Sativa,ORGANIC REMEDIES,Flower,$30.00,3.5g,21.32%,746.20mg,0.040/mg
Phoenixville,19460,Cool Grapes #66 Premium ,Hybrid,GRASSROOTS,Flower,$74.98,7.0g,20.07%,1404.90mg,0.053/mg
Montgomeryville,18936,Mint Face Off ,Indica,CRESCO,Flower,$45.01,3.5g,24.25%,848.75mg,0.053/mg
Phoenixville,19460,Honey Badger Haze ,Hybrid,MODERN FLOWER,Flower,$44.98,3.5g,20.28%,709.80mg,0.063/mg
Lancaster,17601,Yuck Mouth ,Hybrid,GRASSROOTS,Flower,$47.98,3.5g,22.84%,799.40mg,0.060/mg
Ambler,19002,Rocket Fuel  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,15.29%,1070.30mg,0.037/mg
Montgomeryville,18936,Hot Stuff ,Indica,CRESCO,Flower,$45.01,3.5g,25.66%,898.10mg,0.050/mg
Philadelphia - Chestnut St,17301,Mint Face Off  ,Indica,SUPPLY,Small,$60.00,7.0g,26.00%,1820.00mg,0.033/mg
Butler,16001,Real Gushers  Bud,Hybrid,GLEAF,Small,$15.00,1.0g,17.09%,170.90mg,0.088/mg
Butler,16001,Sour Tangie ,Sativa,TERRAPIN,Flower,$31.99,3.5g,16.67%,583.45mg,0.055/mg
Lancaster,17601,Memory Loss #22 ,Hybrid,GRASSROOTS,Flower,$47.98,3.5g,18.98%,664.30mg,0.072/mg
Montgomeryville,18936,Kosher Tangie  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,13.66%,956.20mg,0.042/mg
Ambler,19002,Chem 91 Skunk VA #4 ,Indica,GLEAF,Flower,$35.00,3.5g,21.63%,757.05mg,0.046/mg
Montgomeryville,18936,GG #4  ,Indica,SUPPLY,Small,$79.94,7.0g,19.84%,1388.80mg,0.058/mg
New Kensington,18833,Dough Lato ,Hybrid,INSA,Flower,$39.97,3.5g,20.83%,729.05mg,0.055/mg
Philadelphia - Chestnut St,17301,Silly Susan Premium ,Indica,GRASSROOTS,Flower,$74.98,7.0g,21.45%,1501.50mg,0.050/mg
Phoenixville,19460,Bubba Diagonal  ,Indica,GRASSROOTS,Small,$74.97,7.0g,22.34%,1563.80mg,0.048/mg
Pittsburgh,15112,Kush Cream #13 ,Indica,KYND,Flower,$50.02,3.5g,22.99%,804.65mg,0.062/mg
Lancaster,17601,Tahiti Lime  ,Hybrid,GRASSROOTS,Small,$74.97,7.0g,18.64%,1304.80mg,0.057/mg
Philadelphia - Chestnut St,17301,Gelato #33 I95  ,Hybrid,SUPPLY,Small,$80.01,7.0g,19.86%,1390.20mg,0.058/mg
Ambler,19002,Drops of Jupiter ,Hybrid,CURALEAF,Flower,$71.96,7.0g,26.31%,1841.70mg,0.039/mg
Ambler,19002,Sunny Diesel ,Hybrid,CLASSIX,Flower,$70.00,7.0g,21.32%,1492.40mg,0.047/mg
Pittsburgh,15112,Gelato #33 I95  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,15.77%,1103.90mg,0.036/mg
Philadelphia - Chestnut St,17301,Chemex  ,Sativa,SUPPLY,Small,$80.01,7.0g,27.24%,1906.80mg,0.042/mg
Phoenixville,19460,Mint Face Off  ,Indica,SUPPLY,Small,$79.94,7.0g,22.86%,1600.20mg,0.050/mg
New Kensington,18833,Peach Hashplant ,Sativa,FRX,Flower,$54.98,3.5g,21.56%,754.60mg,0.073/mg
Butler,16001,Tahiti Lime ,Hybrid,GRASSROOTS,Flower,$47.98,3.5g,12.77%,446.95mg,0.107/mg
New Kensington,18833,Sweat Helmet ,Hybrid,CURALEAF,Flower,$47.98,3.5g,19.20%,672.00mg,0.071/mg
Philadelphia - Chestnut St,17301,Bernie Sanders  Bud,Indica,GLEAF,Small,$40.00,3.5g,23.94%,837.90mg,0.048/mg
Montgomeryville,18936,Mother's st  ,Sativa,SECHE,Flower,$54.95,7.0g,20.60%,1442.00mg,0.038/mg
Lancaster,17601,Cold as Ice ,Sativa,CRESCO,Flower,$45.01,3.5g,26.49%,927.15mg,0.049/mg
Montgomeryville,18936,Banana OG  ,Indica,SUPPLY,Small,$80.01,7.0g,23.65%,1655.50mg,0.048/mg
Lancaster,17601,Ice Cream Cake  ,Indica,GOOD GREEN,Small,$84.98,7.0g,20.21%,1414.70mg,0.060/mg
Phoenixville,19460,Blueberry Spacecake  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,12.32%,862.40mg,0.046/mg
Butler,16001,Jimi's Punch  ,Sativa,SUPPLY,Small,$80.01,7.0g,22.54%,1577.80mg,0.051/mg
Phoenixville,19460,Summer Ale Mini ,Hybrid,MOXIE,Flower,$44.98,3.5g,19.74%,690.90mg,0.065/mg
Lancaster,17601,Tangilope ,Sativa,THE BANK,Flower,$35.00,3.5g,19.56%,684.60mg,0.051/mg
Ambler,19002,Grape Essence Little Buds ,Hybrid,FLOAT,Flower,$45.01,3.5g,27.21%,952.35mg,0.047/mg
Montgomeryville,18936,Peach Hashplant ,Sativa,FRX,Flower,$54.98,3.5g,21.56%,754.60mg,0.073/mg
Montgomeryville,18936,Jimi's Punch  ,Sativa,SUPPLY,Small,$79.94,7.0g,22.72%,1590.40mg,0.050/mg
Pittsburgh,15112,Citrus Kiss ,Sativa,TERRAPIN,Flower,$37.00,3.5g,19.75%,691.25mg,0.054/mg
Pittsburgh,15112,Dynamite Cookies ,Sativa,TYSON 2.0,Flower,$58.00,3.5g,26.70%,934.50mg,0.062/mg
Butler,16001,Spiked Mai Tai ,Sativa,CRESCO,Flower,$45.01,3.5g,26.51%,927.85mg,0.049/mg
Lancaster,17601,Honey Mini ,Hybrid,FRX,Flower,$49.98,3.5g,16.46%,576.10mg,0.087/mg
Ambler,19002,Glazed Enigma  ,Sativa,SUPPLY,Small,$80.01,7.0g,20.32%,1422.40mg,0.056/mg
Philadelphia - Chestnut St,17301,Mint Face Off ,Indica,CRESCO,Flower,$45.01,3.5g,24.25%,848.75mg,0.053/mg
Butler,16001,Unknown Legend ,Indica,TRUFLOWER,Flower,$35.00,3.5g,21.65%,757.75mg,0.046/mg
Montgomeryville,18936,Choco Loco ,Sativa,PHG,Flower,$25.00,3.5g,15.30%,535.50mg,0.047/mg
Lancaster,17601,Rocket Fuel ,Hybrid,CRESCO,Flower,$45.01,3.5g,22.52%,788.20mg,0.057/mg
Lancaster,17601,The Menage  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,14.42%,1009.40mg,0.040/mg
Philadelphia - Chestnut St,17301,Choco Loco ,Sativa,PHG,Flower,$25.00,3.5g,15.30%,535.50mg,0.047/mg
Montgomeryville,18936,Critical Purple Kush  ,Indica,SUPPLY,Small,$79.94,7.0g,17.99%,1259.30mg,0.063/mg
Ambler,19002,Gascotti ,Indica,GLEAF,Flower,$70.00,7.0g,23.55%,1648.50mg,0.042/mg
Philadelphia - Chestnut St,17301,Blueberry Muffin Little Buds ,Indica,FLOAT,Flower,$45.01,3.5g,20.83%,729.05mg,0.062/mg
Butler,16001,Citrus Daydream ,Sativa,CRESCO,Flower,$30.00,3.5g,22.97%,803.95mg,0.037/mg
Pittsburgh,15112,Sugar Plum Sunset  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,12.49%,874.30mg,0.046/mg
Ambler,19002,OG 18  ,Indica,SUPPLY,Small,$80.01,7.0g,23.76%,1663.20mg,0.048/mg
Lancaster,17601,Biscotti ,Indica,INSA,Flower,$33.98,3.5g,15.69%,549.15mg,0.062/mg
Philadelphia - Chestnut St,17301,Lemon OG ,Hybrid,CULTIVAR COLLECTION,Flower,$59.99,3.5g,27.95%,978.25mg,0.061/mg
Ambler,19002,MTF  ,Sativa,REVEL,Small,$74.97,7.0g,26.57%,1859.90mg,0.040/mg
Lancaster,17601,Thai 99 ,Sativa,WOODS RESERVE,Flower,$44.98,3.5g,20.64%,722.40mg,0.062/mg
Philadelphia - Chestnut St,17301,Drops of Jupiter ,Hybrid,CURALEAF,Flower,$47.98,3.5g,22.96%,803.60mg,0.060/mg
Montgomeryville,18936,Keystone Banana ,Hybrid,CRESCO,Flower,$45.01,3.5g,27.02%,945.70mg,0.048/mg
Philadelphia - Chestnut St,17301,Apple Sundae Float ,Hybrid,FLOAT,Flower,$25.00,3.5g,27.39%,958.65mg,0.026/mg
Phoenixville,19460,Spiked Mai Tai ,Sativa,CRESCO,Flower,$45.01,3.5g,26.51%,927.85mg,0.049/mg
Phoenixville,19460,Pecan Sandies ,Hybrid,MODERN FLOWER,Flower,$44.98,3.5g,22.87%,800.45mg,0.056/mg
Ambler,19002,Banana OG  ,Indica,SUPPLY,Small,$80.01,7.0g,23.65%,1655.50mg,0.048/mg
New Kensington,18833,Cold as Ice  ,Sativa,SUPPLY,Small,$80.01,7.0g,24.78%,1734.60mg,0.046/mg
Phoenixville,19460,Durban  ,Sativa,SUPPLY,Small,$60.00,7.0g,19.37%,1355.90mg,0.044/mg
Butler,16001,Sugar Plum Sunset  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,13.74%,961.80mg,0.042/mg
Pittsburgh,15112,Garlic Storm ,Hybrid,GLEAF,Flower,$35.00,3.5g,23.92%,837.20mg,0.042/mg
Butler,16001,Watermelon Gelato #36 ,Indica,KYND,Flower,$50.02,3.5g,19.59%,685.65mg,0.073/mg
Ambler,19002,Spiked Mai Tai ,Sativa,CRESCO,Flower,$45.01,3.5g,26.75%,936.25mg,0.048/mg
Butler,16001,Bubble Bath ,Hybrid,GLEAF,Flower,$40.00,3.5g,19.88%,695.80mg,0.057/mg
Lancaster,17601,White Hot Guava ,Indica,CURALEAF,Flower,$47.98,3.5g,27.30%,955.50mg,0.050/mg
New Kensington,18833,Tangarang ,Hybrid,KYND,Flower,$50.02,3.5g,25.54%,893.90mg,0.056/mg
Lancaster,17601,Silver Back Skunk ,Sativa,TRUFLOWER,Flower,$35.00,3.5g,20.50%,717.50mg,0.049/mg
Ambler,19002,Shandy Kush ,Sativa,CLASSIX,Flower,$70.00,7.0g,24.32%,1702.40mg,0.041/mg
Philadelphia - Chestnut St,17301,Lime Bars  ,Indica,SUPPLY,Small,$80.01,7.0g,22.41%,1568.70mg,0.051/mg
Phoenixville,19460,Bio Jesus  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,13.27%,928.90mg,0.043/mg
Philadelphia - Chestnut St,17301,Grandpa's Stash JR ,Hybrid,GLEAF,Flower,$70.00,7.0g,24.24%,1696.80mg,0.041/mg
Lancaster,17601,London PC ,Indica,INSA,Flower,$33.98,3.5g,17.86%,625.10mg,0.054/mg
Lancaster,17601,Tangarang ,Hybrid,KYND,Flower,$49.98,3.5g,25.54%,893.90mg,0.056/mg
Phoenixville,19460,Director's Cut ,Hybrid,CRESCO,Flower,$45.01,3.5g,24.55%,859.25mg,0.052/mg
Montgomeryville,18936,Kosher Tangie  ,Hybrid,SUPPLY,Small,$80.01,7.0g,22.91%,1603.70mg,0.050/mg
New Kensington,18833,Mint Face Off  ,Indica,SUPPLY,Small,$80.01,7.0g,25.27%,1768.90mg,0.045/mg
New Kensington,18833,Gelato #33 I95  ,Hybrid,SUPPLY,Small,$80.01,7.0g,19.86%,1390.20mg,0.058/mg
Lancaster,17601,Kush Cream #13 ,Indica,KYND,Flower,$49.98,3.5g,22.99%,804.65mg,0.062/mg
Philadelphia - Chestnut St,17301,White Truffle ,Indica,FRX,Flower,$54.98,3.5g,23.52%,823.20mg,0.067/mg
Montgomeryville,18936,Banana Macaroon  ,Hybrid,SUPPLY,Small,$80.01,7.0g,22.83%,1598.10mg,0.050/mg
Philadelphia - Chestnut St,17301,Chem De La Chem ,Hybrid,GRASSROOTS,Flower,$47.98,3.5g,25.45%,890.75mg,0.054/mg
Pittsburgh,15112,Jet Fuel ,Sativa,RYTHM,Flower,$54.98,3.5g,23.78%,832.30mg,0.066/mg
Montgomeryville,18936,Glazed Enigma  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,12.87%,900.90mg,0.044/mg
Lancaster,17601,OG 18 ,Indica,CRESCO,Flower,$45.01,3.5g,19.66%,688.10mg,0.065/mg
Lancaster,17601,Ice Cream Cake & Shine   ,Indica,& SHINE,Lightly Ground Trim,$49.98,7.0g,16.33%,1143.10mg,0.044/mg
Butler,16001,Lilac Diesel ,Indica,WOODS RESERVE,Flower,$45.01,3.5g,22.06%,772.10mg,0.058/mg
Philadelphia - Chestnut St,17301,WC Watermelon Z  ,Indica,SUPPLY,Small,$80.01,7.0g,27.74%,1941.80mg,0.041/mg
New Kensington,18833,Drops of Jupiter ,Hybrid,CURALEAF,Flower,$71.96,7.0g,26.31%,1841.70mg,0.039/mg
New Kensington,18833,Honey Mini ,Hybrid,FRX,Flower,$49.98,3.5g,16.46%,576.10mg,0.087/mg
Phoenixville,19460,Citrus Zest Mini ,Hybrid,MOXIE,Flower,$44.98,3.5g,22.99%,804.65mg,0.056/mg
Philadelphia - Chestnut St,17301,Gelato #41 x Dosido  ,Hybrid,GRASSROOTS,Small,$79.94,7.0g,22.96%,1607.20mg,0.050/mg
Lancaster,17601,Bubba Diagonal  ,Indica,GRASSROOTS,Small,$84.98,7.0g,22.34%,1563.80mg,0.054/mg
Lancaster,17601,Kosher Tangie ,Hybrid,CRESCO,Flower,$30.00,3.5g,22.16%,775.60mg,0.039/mg
Ambler,19002,Purple Passion ,Hybrid,CRESCO,Flower,$45.01,3.5g,22.38%,783.30mg,0.057/mg
Pittsburgh,15112,Banana Punch ,Indica,AVENUE,Flower,$44.98,3.5g,22.64%,792.40mg,0.057/mg
Philadelphia - Chestnut St,17301,Pretty Wicked  ,Hybrid,AGRI-KIND,Smalls,$59.99,7.0g,16.82%,1177.40mg,0.051/mg
Lancaster,17601,Sugar Plum Sunset  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,12.49%,874.30mg,0.046/mg
Phoenixville,19460,The Menage ,Hybrid,CRESCO,Flower,$45.01,3.5g,22.98%,804.30mg,0.056/mg
Philadelphia - Chestnut St,17301,Critical Purple Kush  ,Indica,SUPPLY,Small,$60.00,7.0g,20.09%,1406.30mg,0.043/mg
Montgomeryville,18936,Bubblegum XL ,Sativa,THE BANK,Flower,$35.00,3.5g,17.33%,606.55mg,0.058/mg
Philadelphia - Chestnut St,17301,Mint Face Off  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,15.40%,1078.00mg,0.037/mg
Pittsburgh,15112,GG #4  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,13.15%,920.50mg,0.043/mg
Butler,16001,Tangie ,Sativa,TERRAPIN,Flower,$31.99,3.5g,14.63%,512.05mg,0.062/mg
Butler,16001,Banana OG ,Indica,CRESCO,Flower,$30.00,3.5g,20.42%,714.70mg,0.042/mg
Phoenixville,19460,Silver Back Skunk ,Sativa,TRUFLOWER,Flower,$35.00,3.5g,20.50%,717.50mg,0.049/mg
New Kensington,18833,Thai 99 Shake,Sativa,TERRAPIN,Flower,$45.01,7.0g,16.78%,1174.60mg,0.038/mg
Philadelphia - Chestnut St,17301,Glazed Enigma  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,13.07%,914.90mg,0.044/mg
Philadelphia - Chestnut St,17301,Tina  ,Indica,SUPPLY,Small,$80.01,7.0g,22.98%,1608.60mg,0.050/mg
Philadelphia - Chestnut St,17301,Blueberry Spacecake  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,12.32%,862.40mg,0.046/mg
Ambler,19002,Chemex  ,Sativa,SUPPLY,Small,$80.01,7.0g,26.41%,1848.70mg,0.043/mg
New Kensington,18833,White Hot Guava ,Indica,CURALEAF,Flower,$47.98,3.5g,27.30%,955.50mg,0.050/mg
Pittsburgh,15112,Boocoo ,Indica,CALYPSO,Flower,$44.98,3.5g,22.17%,775.95mg,0.058/mg
Montgomeryville,18936,War Pig  ,Hybrid,CLASSIX,Small,$70.00,7.0g,24.38%,1706.60mg,0.041/mg
New Kensington,18833,Tina ,Indica,CRESCO,Flower,$45.01,3.5g,26.61%,931.35mg,0.048/mg
Montgomeryville,18936,Bio Jesus  ,Indica,SUPPLY,Ground Flower,$45.01,7.0g,16.57%,1159.90mg,0.039/mg
Montgomeryville,18936,ICC Float ,Indica,FLOAT,Flower,$25.00,3.5g,21.91%,766.85mg,0.033/mg
Butler,16001,Trainwreck Float ,Sativa,FLOAT,Flower,$49.98,3.5g,19.30%,675.50mg,0.074/mg
Philadelphia - Chestnut St,17301,Cluster Funk Mini ,Hybrid,FRX,Flower,$49.98,3.5g,22.78%,797.30mg,0.063/mg
Ambler,19002,Chaos Kush  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,26.41%,1848.70mg,0.022/mg
Pittsburgh,15112,Hybrid Blend  ,Hybrid,FLOAT,Ground Flower,$24.99,3.5g,22.82%,798.70mg,0.031/mg
New Kensington,18833,4 Locoz ,Indica,INSA,Flower,$49.98,3.5g,21.44%,750.40mg,0.067/mg
Phoenixville,19460,Novarine Premium ,Hybrid,GRASSROOTS,Flower,$74.98,7.0g,26.85%,1879.50mg,0.040/mg
Ambler,19002,Mint Face Off ,Indica,CRESCO,Flower,$45.01,3.5g,23.61%,826.35mg,0.054/mg
Ambler,19002,Sunny Diesel ,Hybrid,CLASSIX,Flower,$40.00,3.5g,22.03%,771.05mg,0.052/mg
New Kensington,18833,Sunset Shortcake  ,Hybrid,GRASSROOTS,Small,$74.97,7.0g,21.25%,1487.50mg,0.050/mg
Lancaster,17601,Mint Face Off  ,Indica,SUPPLY,Small,$79.94,7.0g,22.86%,1600.20mg,0.050/mg
Montgomeryville,18936,Cool Grapes #66 ,Hybrid,GRASSROOTS,Flower,$15.00,1.0g,20.07%,200.70mg,0.075/mg
Lancaster,17601,Indica Blend  ,Indica,FLOAT,Ground Flower,$24.99,3.5g,25.32%,886.20mg,0.028/mg
Pittsburgh,15112,Silly Susan Premium ,Indica,GRASSROOTS,Flower,$74.98,7.0g,21.45%,1501.50mg,0.050/mg
Montgomeryville,18936,Hazen Haze  ,Hybrid,SUPPLY,Small,$80.01,7.0g,21.39%,1497.30mg,0.053/mg
Pittsburgh,15112,OG 18  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,12.62%,883.40mg,0.045/mg
Montgomeryville,18936,Ice Cream Cake  ,Indica,GOOD GREEN,Small,$84.98,7.0g,20.21%,1414.70mg,0.060/mg
Phoenixville,19460,Memory Loss #22 ,Hybrid,GRASSROOTS,Flower,$47.98,3.5g,18.98%,664.30mg,0.072/mg
New Kensington,18833,Kosher Tangie  ,Hybrid,SUPPLY,Small,$80.01,7.0g,22.56%,1579.20mg,0.051/mg
Pittsburgh,15112,Rocket Fuel  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,13.47%,942.90mg,0.042/mg
Ambler,19002,Outer Space  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,13.15%,920.50mg,0.043/mg
Philadelphia - Chestnut St,17301,Purple Passion  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,15.90%,1113.00mg,0.036/mg
Montgomeryville,18936,Serious Happiness ,Hybrid,AGRI-KIND,Flower,$35.00,3.5g,16.96%,593.60mg,0.059/mg
Ambler,19002,Director's Cut ,Hybrid,CRESCO,Flower,$45.01,3.5g,24.55%,859.25mg,0.052/mg
