store location, store zip, name, strain, grower, type, price, weight, thc%, total mg, cost/mg
Ambler,19002,ICC Float ,Indica,FLOAT,Flower,$25.00,3.5g,21.91%,766.85mg,0.033/mg
Ambler,19002,Mint Face Off  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,17.35%,1214.50mg,0.033/mg
Pittsburgh,15112,Morning Dew  Bud,Hybrid,GLEAF,Small,$70.00,7.0g,24.99%,1749.30mg,0.040/mg
Phoenixville,19460,Banana OG ,Indica,CRESCO,Flower,$30.00,3.5g,20.65%,722.75mg,0.042/mg
Butler,16001,Cool Grapes #65 ,Hybrid,GRASSROOTS,Flower,$47.98,3.5g,20.11%,703.85mg,0.068/mg
Phoenixville,19460,Banana Punch ,Indica,AVENUE,Flower,$44.98,3.5g,22.64%,792.40mg,0.057/mg
Philadelphia - Chestnut St,17301,Apple Fritter ,Hybrid,CURALEAF,Flower,$47.98,3.5g,22.60%,791.00mg,0.061/mg
Butler,16001,Tina ,Indica,CRESCO,Flower,$45.01,3.5g,26.61%,931.35mg,0.048/mg
Pittsburgh,15112,Purple Passion ,Hybrid,CRESCO,Flower,$45.01,3.5g,22.38%,783.30mg,0.057/mg
Pittsburgh,15112,Norton x TW  ,Hybrid,AGRI-KIND,Smalls,$59.99,7.0g,16.14%,1129.80mg,0.053/mg
New Kensington,18833,Casey Jones ,Sativa,MOXIE,Flower,$54.98,3.5g,20.16%,705.60mg,0.078/mg
Philadelphia - Chestnut St,17301,Animal Mints #10  ,Indica,GOOD GREEN,Small,$84.98,7.0g,21.97%,1537.90mg,0.055/mg
Lancaster,17601,Gluelato Float ,Hybrid,FLOAT,Flower,$49.98,3.5g,24.12%,844.20mg,0.059/mg
Pittsburgh,15112,Lime Bars ,Indica,CRESCO,Flower,$45.01,3.5g,22.59%,790.65mg,0.057/mg
Montgomeryville,18936,Blood Orange  ,Hybrid,AGRI-KIND,Smalls,$59.99,7.0g,12.60%,882.00mg,0.068/mg
New Kensington,18833,Outer Space  ,Sativa,SUPPLY,Small,$80.01,7.0g,21.14%,1479.80mg,0.054/mg
Ambler,19002,Cherry Diesel  Bud,Hybrid,GLEAF,Small,$70.00,7.0g,21.35%,1494.50mg,0.047/mg
New Kensington,18833,The Menage  ,Hybrid,SUPPLY,Small,$80.01,7.0g,22.04%,1542.80mg,0.052/mg
Butler,16001,Petrol Pine ,Indica,CRESCO,Flower,$45.01,3.5g,26.37%,922.95mg,0.049/mg
Ambler,19002,707 Headband  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,15.53%,1087.10mg,0.037/mg
Philadelphia - Chestnut St,17301,Moonshine Haze ,Sativa,TERRAPIN,Flower,$37.00,3.5g,16.69%,584.15mg,0.063/mg
Ambler,19002,Apple Pie ,Sativa,MODERN FLOWER,Flower,$80.01,7.0g,16.97%,1187.90mg,0.067/mg
New Kensington,18833,Classic Blueberry ,Indica,THE BANK,Flower,$40.00,3.5g,21.47%,751.45mg,0.053/mg
Butler,16001,Classic Red Sangria ,Sativa,LOST IN TRANSLATION,Flower,$50.02,3.5g,18.07%,632.45mg,0.079/mg
Phoenixville,19460,Tahoe OG Mini ,Hybrid,FRX,Flower,$49.98,3.5g,25.52%,893.20mg,0.056/mg
Philadelphia - Chestnut St,17301,Petrol Pine  ,Indica,SUPPLY,Small,$80.01,7.0g,19.15%,1340.50mg,0.060/mg
Ambler,19002,Blueberry Spacecake  ,Indica,SUPPLY,Ground Flower,$39.97,7.0g,12.32%,862.40mg,0.046/mg
Butler,16001,Jack Herer ,Sativa,RYTHM,Flower,$54.98,3.5g,19.64%,687.40mg,0.080/mg
New Kensington,18833,Lilac Diesel ,Indica,WOODS RESERVE,Flower,$45.01,3.5g,22.06%,772.10mg,0.058/mg
New Kensington,18833,Tahiti Lime ,Hybrid,GRASSROOTS,Flower,$74.97,7.0g,18.64%,1304.80mg,0.057/mg
Butler,16001,Apple Cobbler  ,Hybrid,GOOD GREEN,Small,$84.98,7.0g,23.72%,1660.40mg,0.051/mg
Ambler,19002,Green Line OG  ,Hybrid,SUPPLY,Small,$80.01,7.0g,25.02%,1751.40mg,0.046/mg
Lancaster,17601,Spiked Mai Tai ,Sativa,CRESCO,Flower,$45.01,3.5g,26.75%,936.25mg,0.048/mg
Phoenixville,19460,Sweat Helmet ,Hybrid,CURALEAF,Flower,$47.98,3.5g,19.20%,672.00mg,0.071/mg
Ambler,19002,Tina  ,Indica,SUPPLY,Small,$80.01,7.0g,25.98%,1818.60mg,0.044/mg
Philadelphia - Chestnut St,17301,ICC Float ,Indica,FLOAT,Flower,$25.00,3.5g,21.91%,766.85mg,0.033/mg
Lancaster,17601,Ice Cream Cake ,Indica,RYTHM,Flower,$54.98,3.5g,21.80%,763.00mg,0.072/mg
Montgomeryville,18936,Jack Herer ,Sativa,RYTHM,Flower,$54.98,3.5g,19.64%,687.40mg,0.080/mg
Phoenixville,19460,Purple Punch  ,Indica,& SHINE,Small,$79.94,7.0g,18.79%,1315.30mg,0.061/mg
Butler,16001,Cannalope Kush ,Sativa,THE BANK,Flower,$35.00,3.5g,18.55%,649.25mg,0.054/mg
Ambler,19002,Choco Loco ,Sativa,PHG,Flower,$25.00,3.5g,15.30%,535.50mg,0.047/mg
Phoenixville,19460,Grapes 'n Cream ,Hybrid,CULTIVAR COLLECTION,Flower,$59.99,3.5g,24.90%,871.50mg,0.069/mg
Montgomeryville,18936,Spiked Mai Tai  ,Sativa,SUPPLY,Small,$80.01,7.0g,23.13%,1619.10mg,0.049/mg
Phoenixville,19460,Blueberry Muffin Float ,Indica,FLOAT,Flower,$49.98,3.5g,18.65%,652.75mg,0.077/mg
Phoenixville,19460,Apple Frit ,Hybrid,INSA,Flower,$39.97,3.5g,21.18%,741.30mg,0.054/mg
Phoenixville,19460,Yuck Mouth #1  ,Hybrid,GRASSROOTS,Small,$74.97,7.0g,21.81%,1526.70mg,0.049/mg
Butler,16001,Tarts ,Hybrid,GRASSROOTS,Flower,$47.98,3.5g,26.32%,921.20mg,0.052/mg
Lancaster,17601,Oregon Silver Haze ,Sativa,CRESCO,Flower,$45.01,3.5g,23.52%,823.20mg,0.055/mg
Pittsburgh,15112,Citrus Daydream ,Sativa,CRESCO,Flower,$30.00,3.5g,22.97%,803.95mg,0.037/mg
Phoenixville,19460,Big Smooth ,Hybrid,FRX,Flower,$54.98,3.5g,23.64%,827.40mg,0.066/mg
Pittsburgh,15112,Director's Cut ,Hybrid,CRESCO,Flower,$45.01,3.5g,24.55%,859.25mg,0.052/mg
Phoenixville,19460,Tangilope ,Sativa,THE BANK,Flower,$35.00,3.5g,19.56%,684.60mg,0.051/mg
Pittsburgh,15112,Sweet Cheese ,Sativa,AGRI-KIND,Flower,$45.01,3.5g,22.94%,802.90mg,0.056/mg
Pittsburgh,15112,Citrus Daydream  ,Sativa,SUPPLY,Small,$80.01,7.0g,25.49%,1784.30mg,0.045/mg
Philadelphia - Chestnut St,17301,Sugar Plum Sunset  ,Indica,SUPPLY,Small,$80.01,7.0g,20.28%,1419.60mg,0.056/mg
Butler,16001,Cold as Ice ,Sativa,CRESCO,Flower,$45.01,3.5g,27.46%,961.10mg,0.047/mg
Pittsburgh,15112,Glazed Enigma  ,Sativa,SUPPLY,Ground Flower,$39.97,7.0g,13.07%,914.90mg,0.044/mg
Philadelphia - Chestnut St,17301,Bubba Diagonal  ,Indica,GRASSROOTS,Small,$74.97,7.0g,21.60%,1512.00mg,0.050/mg
Philadelphia - Chestnut St,17301,Golden Goose ,Indica,CRESCO,Flower,$45.01,3.5g,21.12%,739.20mg,0.061/mg
Phoenixville,19460,Pink Boogaloo ,Hybrid,MODERN FLOWER,Flower,$44.98,3.5g,22.05%,771.75mg,0.058/mg
New Kensington,18833,War Pig  ,Hybrid,CLASSIX,Small,$70.00,7.0g,24.38%,1706.60mg,0.041/mg
Ambler,19002,Choco Loco  ,Sativa,PHG,Small,$89.95,7.0g,16.25%,1137.50mg,0.079/mg
Phoenixville,19460,Outer Space  ,Sativa,SUPPLY,Small,$79.94,7.0g,21.14%,1479.80mg,0.054/mg
Lancaster,17601,Mother's st  ,Sativa,SECHE,Flower,$54.95,7.0g,18.75%,1312.50mg,0.042/mg
Lancaster,17601,Classic Red Sangria  ,Sativa,LOST IN TRANSLATION,Small,$79.94,7.0g,21.54%,1507.80mg,0.053/mg
Pittsburgh,15112,Lemon Meringue  ,Sativa,GOOD GREEN,Small,$84.98,7.0g,16.93%,1185.10mg,0.072/mg
Butler,16001,Kryptonite ,Indica,MOXIE,Flower,$54.98,3.5g,21.96%,768.60mg,0.072/mg
Butler,16001,Classic Blueberry ,Indica,THE BANK,Flower,$40.00,3.5g,21.47%,751.45mg,0.053/mg
Lancaster,17601,Bubble Bath ,Hybrid,GLEAF,Flower,$35.00,3.5g,19.88%,695.80mg,0.050/mg
Philadelphia - Chestnut St,17301,Director's Cut ,Hybrid,CRESCO,Flower,$45.01,3.5g,24.55%,859.25mg,0.052/mg
Pittsburgh,15112,Kosher Tangie  ,Hybrid,SUPPLY,Ground Flower,$39.97,7.0g,13.66%,956.20mg,0.042/mg
Philadelphia - Chestnut St,17301,OG 18 ,Indica,CRESCO,Flower,$45.01,3.5g,19.66%,688.10mg,0.065/mg
